datetime,province,temp,wind_dir,wind_speed
2020-07-23 04:00:00,Saraburi,30.8,175,10
2020-07-23 07:00:00,Saraburi,33.1,185,8
2020-07-23 10:00:00,Saraburi,33.4,175,8
2020-07-23 13:00:00,Saraburi,29.2,160,8
2020-07-23 16:00:00,Saraburi,27.6,160,8
2020-07-23 19:00:00,Saraburi,26.2,170,5
2020-07-23 22:00:00,Saraburi,25.4,165,4
2020-07-24 01:00:00,Saraburi,26.4,135,2
2020-07-24 04:00:00,Saraburi,30.2,185,7
2020-07-24 07:00:00,Saraburi,32.9,190,7
2020-07-24 10:00:00,Saraburi,32.7,165,7
2020-07-24 13:00:00,Saraburi,28.3,150,9
2020-07-24 16:00:00,Saraburi,26.8,160,8
2020-07-24 19:00:00,Saraburi,25.7,150,7
2020-07-24 22:00:00,Saraburi,25.3,145,7
2020-07-25 01:00:00,Saraburi,26.4,105,4
2020-07-25 04:00:00,Saraburi,31.1,175,4
2020-07-25 07:00:00,Saraburi,32.6,180,4
2020-07-25 10:00:00,Saraburi,31.7,160,6
2020-07-25 13:00:00,Saraburi,28.1,150,7
2020-07-25 16:00:00,Saraburi,26.5,160,9
2020-07-25 19:00:00,Saraburi,25.6,150,5
2020-07-25 22:00:00,Saraburi,25.2,150,6
2020-07-26 01:00:00,Saraburi,26.1,160,5
2020-07-26 04:00:00,Saraburi,30.5,175,13
2020-07-26 07:00:00,Saraburi,32.5,185,10
2020-07-26 10:00:00,Saraburi,33.0,180,10
2020-07-26 13:00:00,Saraburi,29.3,160,9
2020-07-26 16:00:00,Saraburi,27.2,165,10
2020-07-26 19:00:00,Saraburi,26.0,155,7
2020-07-26 22:00:00,Saraburi,25.5,145,9
2020-07-27 01:00:00,Saraburi,26.4,150,8
2020-07-27 04:00:00,Saraburi,30.5,170,15
2020-07-27 07:00:00,Saraburi,32.9,190,12
2020-07-27 10:00:00,Saraburi,32.9,180,9
2020-07-27 13:00:00,Saraburi,28.9,140,6
2020-07-27 16:00:00,Saraburi,27.3,155,9
2020-07-27 19:00:00,Saraburi,26.3,165,10
2020-07-27 22:00:00,Saraburi,25.8,150,8
2020-07-28 01:00:00,Saraburi,26.6,135,8
2020-07-28 04:00:00,Saraburi,30.5,170,12
2020-07-28 07:00:00,Saraburi,32.6,195,11
2020-07-28 10:00:00,Saraburi,33.5,190,6
2020-07-28 13:00:00,Saraburi,29.2,140,5
2020-07-28 16:00:00,Saraburi,28.0,165,9
2020-07-28 19:00:00,Saraburi,25.9,150,7
2020-07-28 22:00:00,Saraburi,25.2,155,7
2020-07-29 01:00:00,Saraburi,25.9,155,5
2020-07-29 04:00:00,Saraburi,29.9,210,8
2020-07-29 07:00:00,Saraburi,32.4,260,9
2020-07-29 10:00:00,Saraburi,32.3,315,8
2020-07-29 13:00:00,Saraburi,27.6,0,9
2020-07-29 16:00:00,Saraburi,26.1,305,3
2020-07-29 19:00:00,Saraburi,25.7,120,2
2020-07-29 22:00:00,Saraburi,25.3,140,2
2020-07-30 01:00:00,Saraburi,25.8,200,7
2020-07-30 04:00:00,Saraburi,29.8,245,9
2020-07-30 07:00:00,Saraburi,33.0,250,9
2020-07-30 10:00:00,Saraburi,33.7,270,10
2020-07-30 13:00:00,Saraburi,29.1,215,3
2020-07-30 16:00:00,Saraburi,27.4,220,6
2020-07-30 19:00:00,Saraburi,26.1,195,7
2020-07-30 22:00:00,Saraburi,25.3,185,6
